,IATA,ICAO,Airline,Call sign,Country,Comments
0,,,,,,
1,,EVY,"34 Squadron, Royal Australian Air Force",,Australia,
2,,GNL,135 Airways,GENERAL,United States,
3,1T,,Hitit Computer Services,,Turkey,Computer reservation system
4,,WYT,2 Sqn No 1 Elementary Flying Training School,WYTON,United Kingdom,Royal Air Force
5,,TFU,213th Flight Unit,THJY,Russia,State Airline
6,,CHD,223rd Flight Unit,CHKALOVSK-AVIA,Russia,State Airline
7,,TTF,224th Flight Unit,CARGO UNIT,Russia,State Airline
8,,TWF,247 Jet Ltd,CLOUD RUNNER,United Kingdom,
9,,SEC,3D Aviation,SECUREX,United States,
10,Q5,MLA,40-Mile Air,MILE-AIR,United States,
11,,QRT,4D Air,QUARTET,Thailand,Defunct
12,,PIU,43 Air School,PRIMA,South Africa,
13,4O,AIJ,Interjet,ABC Aerolineas,Mexico,
14,7A,XRC,Express Air Cargo,,Tunisia,
15,,BRO,2Excel Aviation,BROADSWORD,United Kingdom,"

"
16,,WSN,Advanced Air,WINGSPAN,United States,2015[1]
17,,GBT,A-Jet Aviation Aircraft Management,GLOBETROTTER,Austria,
18,,AJR,A-Jet Aviation Company,JET MONGOLIA,Mongolia,
19,,SFM,A-Safar Air Services,AIR SAFAR,Nigeria,
20,,AJJ,A2 Jet Leasing,ATLANTIC JET,United States,
21,,XXV,AASANA,,Bolivia,
22,,LEP,Air Costa,LECOSTA,India,2014[2]
23,,NKP,Abakan Air,ABAKAN AIR,Russian Federation,2014[2]
24,,ADD,Advanced Air,,Japan,2014[2]
25,,OWN,Aero Owen,AERO OWEN,Mexico,2014[2]
26,,ASR,Aero Sotravia,SOTRAVIA,France,2014[2]
27,,ARH,Aerohelicopteros,AEROHELCA,Venezuela,2014[2]
28,,VMX,Aeroventas de Mexico,VENTA,Mexico,2014[2]
29,,ACC,Airspeed Charter,,Jamaica,2014[2]
30,,FSY,Algonquin Airlink,FROSTY,Canada,2014[2]
31,,TTX,Alliance Air Charters,TWISTER,United States,
32,,ALN,Alpha Jet,TOLEMAC,Slovakia,2014[2]
33,,UJX,Atlas Ukraine Airlines,ATLAS UKRAINE,Ukraine,2014[2]
34,,RGR,Avior Regional,AVIOR REGIONAL,Venezuela,2014[2]
35,,NGF,Air Charity Network,ANGEL FLIGHT,United States,Re-allocated in 2014 was used by Angel Flight America[3]
36,,WFT,Aircharters Worldwide,WORLD FLIGHT,United States,Allocated 2014[4]
37,,ATT,Attawasol Airlines,ATTAWASOL AIR,Libya,
38,,EDY,Apollo Air Service,STOBART,United Kingdom,Was VLL Limited
39,JY,IWY,InterCaribbean Airways,ISLANDWAYS,Turks and Caicos Islands,Name changed from Interisland Airways Limited and Air Turks & Caicos
40,JU,ASL,Air Serbia,AIR SERBIA,Serbia,formerly JAT
41,QH,LYN,Air Kyrgyzstan,ALTYN AVIA,Kyrgyzstan,Name changed from Kyrgyzstan
42,,CCM,Air Corsica,CORSICA,France,
43,,AHS,AHS Air International,HIGH SKY,Pakistan,
44,,ROH,Aberdair Aviation Ghana,,Ghana,
45,,ROO,Aero Roa,AERO ROA,Mexico,
46,,AWF,Aeroforward,,United States,
47,,SUP,Aeronautical Charters,SUN SPEED,United States,
48,,PSO,Aerotaxis Pegaso,AEROPEGASO,Mexico,
49,,VLB,Air Volta,VOLTA,Bulgaria,
50,,WAS,Air-Watania,,Iraq,
51,,FCJ,AirSprint US,FRACJET,United States,"Previously used code ""HAB"""
52,,TEW,Airteam Charter,TEAMWORK,South Africa,
53,,STT,Alpha Star Charter,STAR CHARTER,Saudi Arabia,
54,,LBZ,Angkasa Super Service,,Indonesia,
55,,HEZ,Arrow Aviation,ARROW,Israel,
56,,UAH,"Air Experience Flight, Cranwell",,United Kingdom,Royal Air Force
57,,DRO,Adro Servicios Aereos,ADRO SERVICIOS,Mexico,
58,,RVQ,Aero Jet International,REVA AIR,United States,
59,,ASK,Aerosky,MULTISKY,Spain,
60,,AEH,Aero4m,AEROCUTTER,Slovenia,
61,,ERO,Aeroecom,AEROECOM,Venezuela,
62,A8,XAU,Aerolink Uganda,PEARL,Uganda,
63,,NKY,Aeromonkey,AEROMON,Mexico,
64,,AWP,Aeroworld Pakistan,,Pakistan,
65,,AGA,AG Air,GEOLINE,Georgia,
66,,ABZ,Air Ambulance Services,ISLAND LIFEFLIGHT,Bahamas,
